time,forest_area_%_of_land_area,urban_population_%_of_total_population,urban_population_growth_annual_%,urban_population,urban_land_area_sq_km,rural_population,rural_population_%_of_total_population,Kenya [KEN] - Rural population growth (annual %) [SP.RUR.TOTL.ZG],population_density_people_per_sq_km_of_land_area,population_growth_annual_%,unemployment_total_%_of_total_labor_force,gdp_growth_annual_%,gdp_current_US$,current_health_expenditure_%_of_gdp,domestic_general_government_health_expenditure_%_of_current_health_expenditure,domestic_general_government_health_expenditure_%_of_gdp,proportion_of_population_pushed_below_the_$2.15_$_2017_PPP_poverty_line_by_out_of_pocket_health_care_expenditure_%
1971,..,10.778,8.22538721597638,1282416,..,10616041,89.222,3.10057746297015,20.9060283937168,3.64046960355909,..,22.1738919255764,1778391289.20054,..,..,..,..
1972,..,11.282,8.07521740421395,1390270,..,10932633,88.718,2.93860106749387,21.6517956917454,3.50508356202825,..,17.082429349983,2107279157.38336,..,..,..,..
1973,..,11.805,8.0202154855778,1506366,..,11254039,88.195,2.89749166472565,22.4205028639702,3.48874537597246,..,5.89658021016672,2509001444.1602,..,..,..,..
1974,..,12.349,7.92209332106512,1630556,..,11573393,87.651,2.79816702011091,23.1998260533436,3.4168934292709,..,4.06561734893735,2969958812.43227,..,..,..,..
1975,..,12.914,7.80998129623664,1763007,..,11888901,87.086,2.68965191760527,23.9869065607759,3.33633405648364,..,0.882203175319148,3259344935.75357,..,..,..,..
1976,..,13.503,7.70563283335146,1904229,..,12198039,86.497,2.56699252978469,24.7782057138841,3.24563434304028,..,2.15396450322561,3474542392.04597,..,..,..,..
1977,..,14.112,7.72467580408114,2057155,..,12520191,85.888,2.6067420032038,25.6129353059001,3.31330443198749,..,9.45379784408087,4494378855.32203,..,..,..,..
1978,..,14.745,7.8271593998559,2224641,..,12862782,85.255,2.69954039714455,26.5091594335313,3.4392803015393,..,6.91249354626197,5303734882.5116,..,..,..,..
1979,..,15.401,7.82582531926427,2405731,..,13214882,84.599,2.70055936512319,27.445993955793,3.47299053516761,..,7.61522604591983,6234390975.29871,..,..,..,..
1980,..,15.583,4.73728795578774,2522440,..,13664684,84.417,3.34710755720174,28.4413747056963,3.56247231910082,..,5.5919762059677,7265315331.62273,..,..,..,..
